pitcherid,date,pitchno,pitchno^2,pitchno^3,pitchno,pitch_bucket,relspeed,Dependent Variable,Differential,spinrate,extension,horzbreak,inducedvertbreak,spinaxis,relheight,relside,platelocheight,platelocside
1000136915,9/13/2024,5,25,125,44,FourSeamFastBall,83.673,87.68555667,-0.002408526,2277.469046,5.4061,-11.97402,14.03426,136.607133,5.69929,-0.86499,1.57386,2.26083
1000305276,9/13/2024,5,25,125,17,FourSeamFastBall,87.41803,87.68555667,1.387313254,1954.138674,6.04332,-16.1141,13.01989,126.263447,5.80008,-1.23223,4.69299,-0.35444
1000362328,9/13/2024,5,25,125,32,FourSeamFastBall,90.21092,87.68555667,1.954482909,2039.024949,6.51623,10.30733,16.90166,213.140366,5.73609,1.93617,2.52115,0.69744
10005119,9/27/2024,5,25,125,26,FourSeamFastBall,91.81482,87.68555667,2.883323519,2078.573365,6.95151,-14.88981,11.5941,125.588192,5.66016,-1.43174,3.09458,-0.90927
1000309668,9/27/2024,5,25,125,114,FourSeamFastBall,91.53918,87.68555667,1.879183889,2200.579024,6.64943,12.4132,14.11351,223.331068,5.7804,1.78557,3.83855,1.14634
10005119,10/4/2024,5,25,125,45,FourSeamFastBall,86.99393,87.68555667,-1.937566481,2072.763873,6.02119,-13.21477,14.21804,134.26562,5.95813,-1.32076,1.39129,-0.58316
1000072064,10/11/2024,5,25,125,90,FourSeamFastBall,89.64635,87.68555667,-1.090545556,2266.053056,6.52249,10.3113,12.39772,222.871492,4.63413,1.91887,3.6489,0.71113
10005119,10/11/2024,5,25,125,38,FourSeamFastBall,87.67209,87.68555667,-1.259406481,2217.925044,6.70801,-18.73111,13.94753,124.072759,5.87051,-1.10726,2.53593,-0.16849
1000100911,10/13/2024,5,25,125,161,FourSeamFastBall,87.83406,87.68555667,0.533631787,2222.843703,5.95412,10.42642,18.15001,211.94649,5.66678,1.81011,2.83378,0.40732
823910,10/13/2024,5,25,125,326,FourSeamFastBall,90.31666,87.68555667,2.514110776,2369.768697,5.13566,-14.48469,22.27446,145.454057,5.91701,-0.47607,2.45825,1.01549
1000136915,10/19/2024,5,25,125,17,FourSeamFastBall,84.61206,87.68555667,0.936651474,2219.006738,5.40745,-20.40946,17.99182,128.913976,5.70163,-0.87106,2.32066,-0.07032
1000213387,10/19/2024,5,25,125,161,FourSeamFastBall,85.21964,87.68555667,-2.282391895,2377.073335,5.97859,6.86744,16.49139,204.304371,5.94975,1.52742,3.11398,-0.00038
1000072064,10/20/2024,5,25,125,57,FourSeamFastBall,91.30796,87.68555667,0.571064444,2030.174116,6.30832,17.80139,7.40044,250.736066,4.71804,1.49321,1.18902,0.36669
1000305276,10/25/2024,5,25,125,89,FourSeamFastBall,85.4326,87.68555667,-0.598116746,1721.003909,6.21531,-14.27536,16.23253,136.165939,5.89578,-1.26016,3.12323,-0.68692
1000100911,10/25/2024,5,25,125,4,FourSeamFastBall,88.3001,87.68555667,0.999671787,2128.642777,6.03984,10.0815,18.7319,209.973792,5.91929,1.76643,3.13964,-0.20521
1000136915,10/27/2024,5,25,125,151,FourSeamFastBall,85.53039,87.68555667,1.854981474,2243.226561,5.41957,-16.86225,16.63902,132.208352,5.69659,-0.75554,3.57235,0.31168
1000145579,10/27/2024,5,25,125,226,FourSeamFastBall,84.33042,87.68555667,-0.368945357,1648.820484,6.59217,3.84201,15.84725,194.863313,5.82579,0.69313,3.90216,1.144
1000213387,10/27/2024,5,25,125,321,FourSeamFastBall,85.18523,87.68555667,-2.316801895,2339.578754,5.92825,7.67197,20.8984,201.478908,5.84796,1.70691,1.78595,-1.74964
